City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,port lincoln,-34.7333,135.8667,14.47,58,46,5.3,AU,1681851705
137,atuona,-9.8,-139.0333,27.11,79,26,6.3,PF,1681851705
138,ossora,59.2353,163.0719,0.18,99,100,10.64,RU,1681851705
139,lubango,-14.9172,13.4925,15.78,79,17,1.56,AO,1681851705
140,jatai,-17.8814,-51.7144,23.56,84,100,2.08,BR,1681851705
141,ribeira grande,38.5167,-28.7,14.87,69,94,2.24,PT,1681851705
142,sotouboua,8.5667,0.9833,23.37,88,80,2.9,TG,1681851705
143,verdikoussa,39.7803,21.9722,4.99,78,21,1.14,GR,1681851705
144,komarno,47.7636,18.1226,12.81,82,100,2.31,SK,1681851705
145,lebu,-37.6167,-73.65,13.67,84,100,1.6,CL,1681851705
146,abu kamal,34.4506,40.9171,25.18,24,4,4.87,SY,1681851705
147,ayr,55.4627,-4.6339,8.99,71,0,6.17,GB,1681851705
148,lorengau,-2.0226,147.2712,27.4,80,100,3.34,PG,1681851705
149,abalak,58.1286,68.5944,-5.42,66,4,1.76,RU,1681851705
150,saskylakh,71.9167,114.0833,-25.29,100,100,2.26,RU,1681851705
151,geraldton,-28.7667,114.6,19.23,48,0,8.75,AU,1681851705
152,melfi,40.9965,15.6514,9.72,95,100,1.91,IT,1681851705
153,tupik,54.4253,119.9327,-13.42,96,59,0.8,RU,1681851705
154,tayginka,55.6244,60.5076,2.77,72,100,2.28,RU,1681851705
155,tasiilaq,65.6145,-37.6368,2.09,98,100,6.56,GL,1681851705
156,kibala,9.1104,18.3463,33.15,28,63,1.23,TD,1681851705
157,salalah,17.0151,54.0924,28.05,69,20,1.54,OM,1681851705
158,kodiak,57.79,-152.4072,3.73,45,0,8.23,US,1681851705
159,kailua,21.4022,-157.7394,26.94,73,76,2.68,US,1681851705
160,broome,42.2506,-75.833,7.48,60,100,4.63,US,1681851705
161,mahebourg,-20.4081,57.7,26.25,83,19,6.28,MU,1681851705
162,muravlenko,63.7898,74.523,-10.39,90,100,6.21,RU,1681851705
163,hot springs,34.5037,-93.0552,27.57,28,0,5.66,US,1681851705
164,ameca,20.55,-104.0333,33.6,11,97,2.24,MX,1681851705
165,tura,25.5198,90.2201,26.26,62,3,3.55,IN,1681851705
166,chiredzi,-21.05,31.6667,18.24,83,9,1.67,ZW,1681851705
167,weinan,34.5036,109.5089,16.66,71,0,0.62,CN,1681851705
168,anadyr,64.75,177.4833,-1.72,79,75,6.0,RU,1681851705
169,ponta do sol,32.6667,-17.1,18.35,53,70,2.7,PT,1681851705
170,sola,-13.8833,167.55,27.41,74,94,3.55,VU,1681851705
171,pauini,-7.7136,-66.9764,28.49,72,99,0.87,BR,1681851705
172,chokurdakh,70.6333,147.9167,-11.65,95,100,3.64,RU,1681851705
173,porto novo,6.4965,2.6036,28.21,79,79,3.64,BJ,1681851705
174,lalibela,12.0333,39.0333,19.77,50,91,2.21,ET,1681851705
175,parfenyevo,58.484,43.4088,3.41,88,9,1.67,RU,1681851705
176,kashi,39.4547,75.9797,11.12,16,92,4.33,CN,1681851705
177,sao caetano de odivelas,-0.75,-48.02,24.1,95,100,2.57,BR,1681851705
178,puro,12.4841,123.3827,26.57,80,99,4.19,PH,1681851705
179,puerto carreno,6.189,-67.4859,33.19,42,92,4.01,CO,1681851705
180,nikolskoye,59.7035,30.7861,7.94,88,69,3.74,RU,1681851705
181,ambilobe,-13.2,49.05,23.16,92,14,1.46,MG,1681851705
182,jizan,17.3333,42.6667,31.44,50,0,1.55,SA,1681851705
183,deputatskiy,69.3,139.9,-13.53,94,100,1.64,RU,1681851705
184,pedernales,18.0384,-71.744,25.6,76,84,0.55,DO,1681851705
185,dikson,73.5069,80.5464,-17.24,99,100,3.06,RU,1681851705
186,margate,51.3813,1.3862,9.39,86,93,2.68,GB,1681851705
187,saint-francois,46.4154,3.9054,9.42,89,0,2.06,FR,1681851705
188,bangalore,12.9762,77.6033,21.9,47,0,2.72,IN,1681851705
189,adrar,20.5022,-10.0711,30.07,22,21,3.71,MR,1681851705
190,jinchang,38.4953,102.1739,11.87,37,49,9.44,CN,1681851705
191,kintinku,-5.8833,35.2333,19.3,86,99,1.28,TZ,1681851705
192,airai,-8.9266,125.4092,15.49,98,64,1.31,TL,1681851705
193,souillac,-20.5167,57.5167,25.5,86,16,5.32,MU,1681851705
194,trelleborg,55.3751,13.1569,8.41,61,100,5.0,SE,1681851705
195,san cristobal,7.7669,-72.225,25.1,73,68,0.76,VE,1681851705
196,nebolchi,59.1239,33.3454,4.13,88,100,3.24,RU,1681851705
